"","subjID","identification_post_ingroup","identification_post_outgroup","identification_pre_ingroup","identification_pre_outgroup","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","button_pressed","party","age","gender","ethnicity"
"1",63711,3.66666666666667,1.66666666666667,3.66666666666667,1.66666666666667,0.6,0.4,0.8,0.2,1,"Democrat",30,"male","white"
"2",129327,2,0,2,0,0.2,0.4,0.8,0.6,1,"Democrat",27,"female","white"
"3",528108,5,0,5,5,0.2,0.4,0.8,0.6,1,"Democrat",31,"female","African American"
"4",931360,2.33333333333333,0.666666666666667,2.66666666666667,1,0.6,0.2,0.8,0.4,1,"Democrat",23,"male","white"
"5",1565665,3,1,3,1,0.4,0.6,0.8,0.2,1,"Democrat",28,"male","White"
"6",1614945,4.33333333333333,1.33333333333333,4,1.33333333333333,0.6,0.2,0.4,0.8,1,"Democrat",26,"male","hispanic"
"7",3221531,6,0,6,0,0.4,0.8,0.6,0.2,1,"Democrat",38,"female","white"
"8",3236347,3,0,3,0,0.8,0.6,0.4,0.2,1,"Democrat",31,"male","white"
"9",3595534,4,0,4,0,0.2,0.4,0.8,0.6,1,"Democrat",45,"male","white"
"10",4958833,5.66666666666667,0,5.66666666666667,0,0.6,0.8,0.4,0.2,1,"Democrat",43,"male","White"
"11",5614684,6,0,6,0,0.6,0.8,0.2,0.4,1,"Democrat",45,"female","blk"
"12",6005721,4.66666666666667,0,4.66666666666667,0,0.6,0.2,0.4,0.8,1,"Democrat",29,"female","Caucasian"
"13",7353937,2.66666666666667,1.66666666666667,2.66666666666667,1.33333333333333,0.8,0.6,0.2,0.4,0,"Republican",33,"male","white"
"14",8245379,4,1,4,1,0.6,0.8,0.2,0.4,1,"Democrat",30,"male","White"
"15",8525195,4.33333333333333,1,4.33333333333333,1,0.8,0.4,0.6,0.2,0,"Republican",55,"other","Japanese American"
"16",8807484,3,2,2.66666666666667,2.66666666666667,0.8,0.2,0.6,0.4,0,"Republican",22,"female","white"
"17",11013358,3,0,3,0,0.8,0.4,0.6,0.2,0,"Republican",43,"female","white"
"18",11522737,6,0,6,0,0.8,0.4,0.2,0.6,0,"Republican",47,"female","White"
"19",11685293,3,2,3,2.33333333333333,0.8,0.4,0.6,0.2,0,"Republican",35,"female","USA"
"20",11712939,2.66666666666667,2.33333333333333,3.33333333333333,2,0.4,0.2,0.8,0.6,1,"Democrat",29,"female","Black"
"21",11968678,6,0,6,0,0.6,0.8,0.2,0.4,0,"Republican",29,"male","Hispanic"
"22",12167468,5,1.33333333333333,4.33333333333333,1.33333333333333,0.4,0.8,0.6,0.2,0,"Republican",26,"male","white"
"23",12311859,4.33333333333333,0,4.33333333333333,0,0.2,0.8,0.6,0.4,1,"Democrat",36,"male","white"
"24",12324223,4.66666666666667,0,5,0,0.6,0.4,0.8,0.2,0,"Republican",40,"female","white"
"25",13153349,3,2,3,2,0.2,0.8,0.4,0.6,0,"Republican",36,"male","Non- Hispanic"
"26",13447454,3,2.66666666666667,3.66666666666667,2.33333333333333,0.8,0.6,0.4,0.2,1,"Democrat",27,"male","Caucasian"
"27",13454008,6,0,6,1,0.4,0.8,0.6,0.2,1,"Democrat",24,"female","black"
"28",13959309,6,0.666666666666667,6,0.666666666666667,0.8,0.2,0.4,0.6,0,"Republican",24,"female","White/Hispanic"
"29",14717766,4.33333333333333,1,4.33333333333333,1.33333333333333,0.6,0.2,0.4,0.8,1,"Democrat",21,"female","european"
"30",15022946,5.66666666666667,0,5.66666666666667,0,0.8,0.6,0.2,0.4,1,"Democrat",30,"male","white"
"31",15126203,5,2.66666666666667,5,2.33333333333333,0.6,0.4,0.8,0.2,1,"Democrat",28,"male","usa"
"32",15568996,4,2,4,2,0.4,0.2,0.8,0.6,1,"Democrat",36,"female","white"
"33",15939946,5,1.66666666666667,5.33333333333333,2,0.4,0.6,0.8,0.2,0,"Republican",60,"female","White"
"34",16593974,3,3,3,3,0.4,0.8,0.2,0.6,1,"Democrat",34,"female","white"
"35",17850026,6,0,6,0,0.4,0.8,0.2,0.6,0,"Republican",41,"female","White"
"36",18981015,5.33333333333333,0.666666666666667,5.33333333333333,1.66666666666667,0.4,0.6,0.8,0.2,1,"Democrat",34,"female","black"
"37",19283408,6,0,6,0,0.8,0.4,0.2,0.6,1,"Democrat",27,"male","white"
"38",19333101,4.66666666666667,0,5.33333333333333,0,0.6,0.4,0.8,0.2,1,"Democrat",27,"female","White"
"39",20099892,5.66666666666667,3.33333333333333,4.66666666666667,3.33333333333333,0.4,0.6,0.8,0.2,1,"Democrat",39,"male","caucasian"
"40",20608763,5,1,5,1,0.4,0.6,0.2,0.8,0,"Republican",43,"female","Caucasian"
"41",21158184,5,2.33333333333333,4.66666666666667,3,0.2,0.4,0.6,0.8,1,"Democrat",30,"female","filipino"
"42",22283544,4,0,4,0,0.4,0.6,0.2,0.8,1,"Democrat",35,"male","Caucasian"
"43",22701897,4.66666666666667,0,4.66666666666667,0,0.4,0.2,0.6,0.8,1,"Democrat",38,"female","Caucasian"
"44",22713938,2,1.66666666666667,0.666666666666667,1.33333333333333,0.4,0.6,0.8,0.2,0,"Republican",21,"male","White"
"45",23137317,6,0,6,0,0.8,0.4,0.2,0.6,1,"Democrat",39,"female","white"
"46",24069224,5.33333333333333,1.33333333333333,5.33333333333333,1.33333333333333,0.8,0.6,0.2,0.4,0,"Republican",27,"female","White/non-hispanic"
"47",24786316,3.66666666666667,2.33333333333333,4.33333333333333,2.33333333333333,0.2,0.6,0.4,0.8,1,"Democrat",25,"female","Asian"
"48",25158291,3,1.33333333333333,3,0.666666666666667,0.8,0.2,0.4,0.6,0,"Republican",54,"female","caucasion"
"49",25212653,6,0,6,0,0.2,0.4,0.8,0.6,0,"Republican",28,"male","white"
"50",25323963,5,0,5,0,0.8,0.2,0.6,0.4,1,"Democrat",28,"female","White"
"51",25748784,6,0,6,0,0.4,0.6,0.8,0.2,1,"Democrat",25,"female","african american"
"52",25751729,3,3,3,3,0.2,0.8,0.4,0.6,0,"Republican",38,"female","white"
"53",25966757,6,0,6,0,0.6,0.4,0.8,0.2,1,"Democrat",32,"female","black"
"54",26564549,5.66666666666667,0,4.33333333333333,0,0.6,0.4,0.2,0.8,1,"Democrat",31,"female","African American"
"55",26926124,5.33333333333333,4,5.33333333333333,4,0.8,0.6,0.4,0.2,1,"Democrat",43,"male","White"
"56",27206026,5,2,5,2,0.8,0.6,0.2,0.4,0,"Republican",62,"male","White"
"57",27562964,3,0.333333333333333,3.33333333333333,0.333333333333333,0.4,0.2,0.8,0.6,0,"Republican",22,"male","Caucasian"
"58",27966776,4.66666666666667,2.66666666666667,4.66666666666667,2.33333333333333,0.8,0.4,0.6,0.2,1,"Democrat",29,"male","white"
"59",28636546,4.66666666666667,0,4,0,0.8,0.6,0.2,0.4,1,"Democrat",27,"female","Caucasian"
"60",28705153,3.33333333333333,0,3.66666666666667,0,0.2,0.6,0.8,0.4,1,"Democrat",34,"male","Caucasian"
"61",29328934,5.33333333333333,0,5,0,0.4,0.8,0.6,0.2,1,"Democrat",33,"female","white"
"62",30870279,2,0,2,0,0.2,0.4,0.6,0.8,0,"Republican",43,"female","White"
"63",31384174,4,2,4,2.66666666666667,0.4,0.8,0.2,0.6,0,"Republican",21,"male","Asain"
"64",31707699,4,3,4,3,0.8,0.6,0.2,0.4,0,"Republican",27,"female","Caucasian"
"65",32069706,2.33333333333333,0,1.66666666666667,0,0.4,0.6,0.2,0.8,1,"Democrat",23,"female","White"
"66",33596081,5,1,5,1.33333333333333,0.4,0.8,0.2,0.6,0,"Republican",34,"female","white"
"67",33704891,2.66666666666667,0.666666666666667,2.66666666666667,0.666666666666667,0.2,0.6,0.4,0.8,0,"Republican",29,"female","white"
"68",34622707,4.33333333333333,0.666666666666667,4.33333333333333,0.666666666666667,0.6,0.2,0.4,0.8,1,"Democrat",27,"female","White"
"69",35905813,4.66666666666667,2.33333333333333,5,2,0.2,0.4,0.8,0.6,0,"Republican",44,"female","american"
"70",36019236,2.66666666666667,0,2.66666666666667,0,0.8,0.6,0.2,0.4,1,"Democrat",41,"female","white"
"71",36329385,0,0,0,0,0.8,0.4,0.6,0.2,1,"Democrat",22,"male","Caucasian"
"72",36440179,3,0.333333333333333,3,0.666666666666667,0.6,0.4,0.2,0.8,1,"Democrat",52,"male","asian"
"73",37210040,3,2.33333333333333,3.33333333333333,2,0.6,0.8,0.2,0.4,1,"Democrat",48,"female","white"
"74",37730360,5,0.333333333333333,5,0.333333333333333,0.6,0.2,0.8,0.4,1,"Democrat",51,"female","Caucasian"
